"Number","Experiment","Date","Day","Hour","Transfer","Strain","Media","Temperature","Treatment","Replicate","RF","Rfctrl","Rep","seqRep","lnRF","trDay"
1,"crypt_flask",2015-02-19,0,0,1,"331","ASW","15","0",3,200,0,"3","A",5.29831736654804,1
2,"crypt_flask",2015-02-19,0,0,1,"332","ASW","15","0",3,200,0,"3","A",5.29831736654804,1
3,"crypt_flask",2015-02-19,0,0,1,"333","ASW","15","0",3,200,0,"3","A",5.29831736654804,1
4,"crypt_flask",2015-02-19,0,0,1,"1263","ASW","15","0",3,200,0,"3","A",5.29831736654804,1
5,"crypt_flask",2015-02-19,0,0,1,"331","ASW","15","2",3,200,0,"3","A",5.29831736654804,1
6,"crypt_flask",2015-02-19,0,0,1,"332","ASW","15","2",3,200,0,"3","A",5.29831736654804,1
7,"crypt_flask",2015-02-19,0,0,1,"333","ASW","15","2",3,200,0,"3","A",5.29831736654804,1
8,"crypt_flask",2015-02-19,0,0,1,"1263","ASW","15","2",3,200,0,"3","A",5.29831736654804,1
9,"crypt_flask",2015-02-19,0,0,1,"331","ASW","15","12",3,200,0,"3","A",5.29831736654804,1
10,"crypt_flask",2015-02-19,0,0,1,"332","ASW","15","12",3,200,0,"3","A",5.29831736654804,1
11,"crypt_flask",2015-02-19,0,0,1,"333","ASW","15","12",3,200,0,"3","A",5.29831736654804,1
12,"crypt_flask",2015-02-19,0,0,1,"1263","ASW","15","12",3,200,0,"3","A",5.29831736654804,1
13,"crypt_flask",2015-02-19,0,0,1,"331","ASW","15","24",3,200,0,"3","A",5.29831736654804,1
14,"crypt_flask",2015-02-19,0,0,1,"332","ASW","15","24",3,200,0,"3","A",5.29831736654804,1
15,"crypt_flask",2015-02-19,0,0,1,"333","ASW","15","24",3,200,0,"3","A",5.29831736654804,1
16,"crypt_flask",2015-02-19,0,0,1,"1263","ASW","15","24",3,200,0,"3","A",5.29831736654804,1
17,"crypt_flask",2015-02-19,0,0,1,"331","ASW","15","36",3,200,0,"3","A",5.29831736654804,1
18,"crypt_flask",2015-02-19,0,0,1,"332","ASW","15","36",3,200,0,"3","A",5.29831736654804,1
19,"crypt_flask",2015-02-19,0,0,1,"333","ASW","15","36",3,200,0,"3","A",5.29831736654804,1
20,"crypt_flask",2015-02-19,0,0,1,"1263","ASW","15","36",3,200,0,"3","A",5.29831736654804,1
1,"crypt_flask",2015-02-20,1,24,1,"331","ASW","15","0",3,274.03,17.59,"3","A",5.54689471911906,2
2,"crypt_flask",2015-02-20,1,24,1,"332","ASW","15","0",3,237.54,17.59,"3","A",5.39340024779473,2
3,"crypt_flask",2015-02-20,1,24,1,"333","ASW","15","0",3,335.41,17.59,"3","A",5.76148518478449,2
4,"crypt_flask",2015-02-20,1,24,1,"1263","ASW","15","0",3,399.67,17.59,"3","A",5.94563001076418,2
5,"crypt_flask",2015-02-20,1,24,1,"331","ASW","15","2",3,564.82,16.98,"3","A",6.30598327351332,2
6,"crypt_flask",2015-02-20,1,24,1,"332","ASW","15","2",3,506.78,16.98,"3","A",6.19399714451807,2
7,"crypt_flask",2015-02-20,1,24,1,"333","ASW","15","2",3,438.92,16.98,"3","A",6.04486312383268,2
8,"crypt_flask",2015-02-20,1,24,1,"1263","ASW","15","2",3,521.57,16.98,"3","A",6.22374621833322,2
9,"crypt_flask",2015-02-20,1,24,1,"331","ASW","15","12",3,471.24,17.11,"3","A",6.11838350066517,2
10,"crypt_flask",2015-02-20,1,24,1,"332","ASW","15","12",3,467.25,17.11,"3","A",6.10955864549045,2
11,"crypt_flask",2015-02-20,1,24,1,"333","ASW","15","12",3,409.4,17.11,"3","A",5.97200136219472,2
12,"crypt_flask",2015-02-20,1,24,1,"1263","ASW","15","12",3,474.6,17.11,"3","A",6.12575502655319,2
13,"crypt_flask",2015-02-20,1,24,1,"331","ASW","15","24",3,397.36,19.41,"3","A",5.93476191173819,2
14,"crypt_flask",2015-02-20,1,24,1,"332","ASW","15","24",3,373.32,19.41,"3","A",5.86904264352186,2
15,"crypt_flask",2015-02-20,1,24,1,"333","ASW","15","24",3,334.47,19.41,"3","A",5.75276309687782,2
16,"crypt_flask",2015-02-20,1,24,1,"1263","ASW","15","24",3,458.4,19.41,"3","A",6.08447663377244,2
17,"crypt_flask",2015-02-20,1,24,1,"331","ASW","15","36",3,295.61,21.28,"3","A",5.61433176126685,2
18,"crypt_flask",2015-02-20,1,24,1,"332","ASW","15","36",3,353.71,21.28,"3","A",5.80642931161634,2
19,"crypt_flask",2015-02-20,1,24,1,"333","ASW","15","36",3,296.35,21.28,"3","A",5.61702561072992,2
20,"crypt_flask",2015-02-20,1,24,1,"1263","ASW","15","36",3,460.9,21.28,"3","A",6.08591071739993,2
1,"crypt_flask",2015-02-21,2,48,1,"331","ASW","15","0",3,626,19.03,"3","A",6.40847936644438,3
2,"crypt_flask",2015-02-21,2,48,1,"332","ASW","15","0",3,374.01,19.03,"3","A",5.8720614498602,3
3,"crypt_flask",2015-02-21,2,48,1,"333","ASW","15","0",3,561.25,19.03,"3","A",6.29567182314192,3
4,"crypt_flask",2015-02-21,2,48,1,"1263","ASW","15","0",3,708.99,19.03,"3","A",6.53663362489643,3
5,"crypt_flask",2015-02-21,2,48,1,"331","ASW","15","2",3,1032.84,17.58,"3","A",6.92290001630859,3
6,"crypt_flask",2015-02-21,2,48,1,"332","ASW","15","2",3,960.21,17.58,"3","A",6.84867384084504,3
7,"crypt_flask",2015-02-21,2,48,1,"333","ASW","15","2",3,1133.91,17.58,"3","A",7.01780179815568,3
8,"crypt_flask",2015-02-21,2,48,1,"1263","ASW","15","2",3,1090.46,17.58,"3","A",6.97810190040268,3
9,"crypt_flask",2015-02-21,2,48,1,"331","ASW","15","12",3,1203.32,17.38,"3","A",7.07829098805872,3
10,"crypt_flask",2015-02-21,2,48,1,"332","ASW","15","12",3,998.16,17.38,"3","A",6.88834817345691,3
11,"crypt_flask",2015-02-21,2,48,1,"333","ASW","15","12",3,614.47,17.38,"3","A",6.39206785579924,3
12,"crypt_flask",2015-02-21,2,48,1,"1263","ASW","15","12",3,739.91,17.38,"3","A",6.5827589416159,3
13,"crypt_flask",2015-02-21,2,48,1,"331","ASW","15","24",3,571.87,18.7,"3","A",6.31566536838518,3
14,"crypt_flask",2015-02-21,2,48,1,"332","ASW","15","24",3,862.28,18.7,"3","A",6.73765474040514,3
15,"crypt_flask",2015-02-21,2,48,1,"333","ASW","15","24",3,693.51,18.7,"3","A",6.5144311697677,3
16,"crypt_flask",2015-02-21,2,48,1,"1263","ASW","15","24",3,874.91,18.7,"3","A",6.75251567315677,3
17,"crypt_flask",2015-02-21,2,48,1,"331","ASW","15","36",3,463.37,22.61,"3","A",6.08850050961958,3
18,"crypt_flask",2015-02-21,2,48,1,"332","ASW","15","36",3,677.16,22.61,"3","A",6.48394797662611,3
19,"crypt_flask",2015-02-21,2,48,1,"333","ASW","15","36",3,530.03,22.61,"3","A",6.22933906302219,3
20,"crypt_flask",2015-02-21,2,48,1,"1263","ASW","15","36",3,946.35,22.61,"3","A",6.82843064676403,3
1,"crypt_flask",2015-02-22,3,72,1,"331","ASW","15","0",3,1152.69,18.89,"3","A",7.0333301018902,4
2,"crypt_flask",2015-02-22,3,72,1,"332","ASW","15","0",3,603.84,18.89,"3","A",6.37152637349361,4
3,"crypt_flask",2015-02-22,3,72,1,"333","ASW","15","0",3,884.4,18.89,"3","A",6.76331892856454,4
4,"crypt_flask",2015-02-22,3,72,1,"1263","ASW","15","0",3,1443.32,18.89,"3","A",7.26152701268141,4
5,"crypt_flask",2015-02-22,3,72,1,"331","ASW","15","2",3,3183.69,18.71,"3","A",8.05990201544299,4
6,"crypt_flask",2015-02-22,3,72,1,"332","ASW","15","2",3,2050.46,18.71,"3","A",7.61665276963331,4
7,"crypt_flask",2015-02-22,3,72,1,"333","ASW","15","2",3,2428.6,18.71,"3","A",7.78733638228949,4
8,"crypt_flask",2015-02-22,3,72,1,"1263","ASW","15","2",3,2696.53,18.71,"3","A",7.89275830965307,4
9,"crypt_flask",2015-02-22,3,72,1,"331","ASW","15","12",3,1722.54,17.29,"3","A",7.44146700653483,4
10,"crypt_flask",2015-02-22,3,72,1,"332","ASW","15","12",3,2152.93,17.29,"3","A",7.66652164654989,4
11,"crypt_flask",2015-02-22,3,72,1,"333","ASW","15","12",3,2310.5,17.29,"3","A",7.73770786174337,4
12,"crypt_flask",2015-02-22,3,72,1,"1263","ASW","15","12",3,1459.17,17.29,"3","A",7.27370309662898,4
13,"crypt_flask",2015-02-22,3,72,1,"331","ASW","15","24",3,1174.9,18.96,"3","A",7.05266914477112,4
14,"crypt_flask",2015-02-22,3,72,1,"332","ASW","15","24",3,1696.56,18.96,"3","A",7.42511947958771,4
15,"crypt_flask",2015-02-22,3,72,1,"333","ASW","15","24",3,1509.46,18.96,"3","A",7.30686691311813,4
16,"crypt_flask",2015-02-22,3,72,1,"1263","ASW","15","24",3,1481.08,18.96,"3","A",7.28764271628476,4
17,"crypt_flask",2015-02-22,3,72,1,"331","ASW","15","36",3,650.9,19.62,"3","A",6.44774950421278,4
18,"crypt_flask",2015-02-22,3,72,1,"332","ASW","15","36",3,1011.18,19.62,"3","A",6.89927946050109,4
19,"crypt_flask",2015-02-22,3,72,1,"333","ASW","15","36",3,1235.71,19.62,"3","A",7.10339607294517,4
20,"crypt_flask",2015-02-22,3,72,1,"1263","ASW","15","36",3,1830.53,19.62,"3","A",7.50158476034813,4
1,"crypt_flask",2015-02-23,4,96,1,"331","ASW","15","0",3,2315.44,20.39,"3","A",7.7385099087497,5
2,"crypt_flask",2015-02-23,4,96,1,"332","ASW","15","0",3,1017.38,20.39,"3","A",6.90474073982127,5
3,"crypt_flask",2015-02-23,4,96,1,"333","ASW","15","0",3,1570.29,20.39,"3","A",7.345945691703,5
4,"crypt_flask",2015-02-23,4,96,1,"1263","ASW","15","0",3,3147.22,20.39,"3","A",8.04777499077373,5
5,"crypt_flask",2015-02-23,4,96,1,"331","ASW","15","2",3,5023.41,18.52,"3","A",8.51817071348582,5
6,"crypt_flask",2015-02-23,4,96,1,"332","ASW","15","2",3,3620.92,18.52,"3","A",8.18935556898736,5
7,"crypt_flask",2015-02-23,4,96,1,"333","ASW","15","2",3,5059.62,18.52,"3","A",8.52537959121974,5
8,"crypt_flask",2015-02-23,4,96,1,"1263","ASW","15","2",3,5098.54,18.52,"3","A",8.53307047757265,5
9,"crypt_flask",2015-02-23,4,96,1,"331","ASW","15","12",3,3242.31,17.79,"3","A",8.07853938094321,5
10,"crypt_flask",2015-02-23,4,96,1,"332","ASW","15","12",3,4124.89,17.79,"3","A",8.32047246233313,5
11,"crypt_flask",2015-02-23,4,96,1,"333","ASW","15","12",3,2275.19,17.79,"3","A",7.72196898752153,5
12,"crypt_flask",2015-02-23,4,96,1,"1263","ASW","15","12",3,2977.74,17.79,"3","A",7.99292765528354,5
13,"crypt_flask",2015-02-23,4,96,1,"331","ASW","15","24",3,3045.01,20.87,"3","A",8.01438203252408,5
14,"crypt_flask",2015-02-23,4,96,1,"332","ASW","15","24",3,3651.16,20.87,"3","A",8.19706781387504,5
15,"crypt_flask",2015-02-23,4,96,1,"333","ASW","15","24",3,2199.41,20.87,"3","A",7.68641020664668,5
16,"crypt_flask",2015-02-23,4,96,1,"1263","ASW","15","24",3,3042.94,20.87,"3","A",8.01369730603232,5
17,"crypt_flask",2015-02-23,4,96,1,"331","ASW","15","36",3,1395.03,20.18,"3","A",7.22609991324074,5
18,"crypt_flask",2015-02-23,4,96,1,"332","ASW","15","36",3,1897.27,20.18,"3","A",7.53747798429155,5
19,"crypt_flask",2015-02-23,4,96,1,"333","ASW","15","36",3,1386.97,20.18,"3","A",7.22022020385499,5
