Number,Date,Day,Hour,Transfer,Strain,Treatment,Replicate,RF,Rfctrl
1,2014-12-09,0,0,D,156-4,0,1,4474.48,17.18
2,2014-12-09,0,0,D,167-7,0,1,2781.83,17.18
3,2014-12-09,0,0,D,168-16,0,1,4802.23,17.18
4,2014-12-09,0,0,D,169-30,0,1,2924.04,17.18
5,2014-12-09,0,0,D,164-11,0,1,5539.59,17.18
6,2014-12-09,0,0,D,156-4,2,1,4957.6,19.05
7,2014-12-09,0,0,D,167-7,2,1,5972.69,19.05
8,2014-12-09,0,0,D,168-16,2,1,6313.27,19.05
9,2014-12-09,0,0,D,169-30,2,1,5924.17,19.05
10,2014-12-09,0,0,D,164-11,2,1,6183.02,19.05
11,2014-12-09,0,0,D,156-4,12,1,6074.48,15.73
12,2014-12-09,0,0,D,167-7,12,1,5700.09,15.73
13,2014-12-09,0,0,D,168-16,12,1,7009.72,15.73
14,2014-12-09,0,0,D,169-30,12,1,4640.09,15.73
15,2014-12-09,0,0,D,164-11,12,1,6722.66,15.73
16,2014-12-09,0,0,D,156-4,24,1,5578.28,17.61
17,2014-12-09,0,0,D,167-7,24,1,7071.45,17.61
18,2014-12-09,0,0,D,168-16,24,1,7150.61,17.61
19,2014-12-09,0,0,D,169-30,24,1,6154.26,17.61
20,2014-12-09,0,0,D,164-11,24,1,7469.54,17.61
21,2014-12-09,0,0,D,156-4,36,1,5550.55,21.91
22,2014-12-09,0,0,D,167-7,36,1,7448.29,21.91
23,2014-12-09,0,0,D,168-16,36,1,4686.79,21.91
24,2014-12-09,0,0,D,169-30,36,1,8549.66,21.91
25,2014-12-09,0,0,D,164-11,36,1,10672.51,21.91
26,2014-12-09,0,0,D,156-4,0,2,4418.46,17.18
27,2014-12-09,0,0,D,167-7,0,2,5107.04,17.18
28,2014-12-09,0,0,D,168-16,0,2,4952.85,17.18
29,2014-12-09,0,0,D,169-30,0,2,5597.71,17.18
30,2014-12-09,0,0,D,164-11,0,2,6900.89,17.18
31,2014-12-09,0,0,D,156-4,2,2,5260.08,19.05
32,2014-12-09,0,0,D,167-7,2,2,5985.41,19.05
33,2014-12-09,0,0,D,168-16,2,2,5769.82,19.05
34,2014-12-09,0,0,D,169-30,2,2,6893.55,19.05
35,2014-12-09,0,0,D,164-11,2,2,5566.79,19.05
36,2014-12-09,0,0,D,156-4,12,2,5593.66,15.73
37,2014-12-09,0,0,D,167-7,12,2,6507.47,15.73
38,2014-12-09,0,0,D,168-16,12,2,6741.16,15.73
39,2014-12-09,0,0,D,169-30,12,2,5070.21,15.73
40,2014-12-09,0,0,D,164-11,12,2,4313.95,15.73
41,2014-12-09,0,0,D,156-4,24,2,5851.83,17.61
42,2014-12-09,0,0,D,167-7,24,2,8109.95,17.61
43,2014-12-09,0,0,D,168-16,24,2,6644.38,17.61
44,2014-12-09,0,0,D,169-30,24,2,6080.24,17.61
45,2014-12-09,0,0,D,164-11,24,2,7053.87,17.61
46,2014-12-09,0,0,D,156-4,36,2,6256.16,21.91
47,2014-12-09,0,0,D,167-7,36,2,8115.13,21.91
48,2014-12-09,0,0,D,168-16,36,2,4590.56,21.91
49,2014-12-09,0,0,D,169-30,36,2,7686.17,21.91
50,2014-12-09,0,0,D,164-11,36,2,11417.97,21.91
51,2014-12-09,0,0,D,156-4,0,3,5119.44,17.18
52,2014-12-09,0,0,D,167-7,0,3,4513.24,17.18
53,2014-12-09,0,0,D,168-16,0,3,5275.03,17.18
54,2014-12-09,0,0,D,169-30,0,3,7501.02,17.18
55,2014-12-09,0,0,D,164-11,0,3,5635.32,17.18
56,2014-12-09,0,0,D,156-4,2,3,5748.24,19.05
57,2014-12-09,0,0,D,167-7,2,3,5023.01,19.05
