Date,Day,Treatment,Transfer,Strain,Replicate,RF,Rfctrl
2015-01-03,0,36,A,156-4,1,1699,19.86
2015-01-03,0,36,A,167-7,1,2940,19.86
2015-01-03,0,36,A,168-16,1,1133,19.86
2015-01-03,0,36,A,169-30,1,510,19.86
2015-01-03,0,36,A,164-11,1,560,19.86
2015-01-04,1,36,A,156-4,1,2008,21.66
2015-01-04,1,36,A,167-7,1,3151,21.66
2015-01-04,1,36,A,168-16,1,702,21.66
2015-01-04,1,36,A,169-30,1,413,21.66
2015-01-04,1,36,A,164-11,1,411,21.66
2015-01-05,2,36,A,156-4,1,2173,20.88
2015-01-05,2,36,A,167-7,1,4794,20.88
2015-01-05,2,36,A,168-16,1,854,20.88
2015-01-05,2,36,A,169-30,1,472,20.88
2015-01-05,2,36,A,164-11,1,930,20.88
2015-01-06,3,36,A,156-4,1,2400,22.37
2015-01-06,3,36,A,167-7,1,5010,22.37
2015-01-06,3,36,A,168-16,1,667,22.37
2015-01-06,3,36,A,169-30,1,362,22.37
2015-01-06,3,36,A,164-11,1,839,22.37
2015-01-07,4,36,A,156-4,1,2116,21.18
2015-01-07,4,36,A,167-7,1,6614,21.18
2015-01-07,4,36,A,168-16,1,585,21.18
2015-01-07,4,36,A,169-30,1,636,21.18
2015-01-07,4,36,A,164-11,1,1200,21.18
2015-01-08,5,36,A,156-4,1,2116,21.04
2015-01-08,5,36,A,167-7,1,8969,21.04
2015-01-08,5,36,A,168-16,1,542,21.04
2015-01-08,5,36,A,169-30,1,4756,21.04
2015-01-08,5,36,A,164-11,1,1438,21.04
2015-01-09,6,36,A,156-4,1,4619,22.09
2015-01-09,6,36,A,167-7,1,13443,22.09
2015-01-09,6,36,A,168-16,1,626,22.09
2015-01-09,6,36,A,169-30,1,601,22.09
2015-01-09,6,36,A,164-11,1,2520,22.09
2015-01-10,7,36,A,156-4,1,5255,20.54
2015-01-10,7,36,A,167-7,1,13157,20.54
2015-01-10,7,36,A,168-16,1,468,20.54
2015-01-10,7,36,A,169-30,1,517,20.54
2015-01-10,7,36,A,164-11,1,3544,20.54
2015-01-11,8,36,A,156-4,1,6062,21.77
2015-01-11,8,36,A,167-7,1,15325,21.77
2015-01-11,8,36,A,168-16,1,606,21.77
2015-01-11,8,36,A,169-30,1,434,21.77
2015-01-11,8,36,A,164-11,1,4199,21.77
2015-01-12,9,36,A,156-4,1,7111,23.08
2015-01-12,9,36,A,167-7,1,16033,23.08
2015-01-12,9,36,A,168-16,1,601,23.08
2015-01-12,9,36,A,169-30,1,756,23.08
2015-01-12,9,36,A,164-11,1,5857,23.08
2015-01-13,10,36,A,156-4,1,7787,19.55
2015-01-13,10,36,A,167-7,1,18374,19.55
2015-01-13,10,36,A,168-16,1,504,19.55
2015-01-13,10,36,A,169-30,1,596,19.55
2015-01-13,10,36,A,164-11,1,6977,19.55
2015-01-14,11,36,A,156-4,1,9644.6,20.83
2015-01-14,11,36,A,167-7,1,30432.1,20.83
2015-01-14,11,36,A,168-16,1,549.29,20.83
2015-01-14,11,36,A,169-30,1,777.79,20.83
2015-01-14,11,36,A,164-11,1,9065.07,20.83
2015-01-15,12,36,A,156-4,1,12431.93,19.72
2015-01-15,12,36,A,167-7,1,32373.83,19.72
2015-01-15,12,36,A,168-16,1,688.65,19.72
2015-01-15,12,36,A,169-30,1,907.24,19.72
2015-01-15,12,36,A,164-11,1,10401.05,19.72
2015-01-16,13,36,A,156-4,1,13175.13,20.44
2015-01-16,13,36,A,167-7,1,34854.53,20.44
2015-01-16,13,36,A,168-16,1,668.94,20.44
2015-01-16,13,36,A,169-30,1,807.91,20.44
2015-01-16,13,36,A,164-11,1,10104.35,20.44
2015-01-17,14,36,A,156-4,1,16865.04,18.63
2015-01-17,14,36,A,167-7,1,37642.92,18.63
2015-01-17,14,36,A,168-16,1,727.99,18.63
2015-01-17,14,36,A,169-30,1,566.17,18.63
2015-01-17,14,36,A,164-11,1,13022.43,18.63
2015-01-18,15,36,A,156-4,1,NA,NA
2015-01-18,15,36,A,167-7,1,NA,NA
2015-01-18,15,36,A,168-16,1,NA,NA
2015-01-18,15,36,A,169-30,1,NA,NA
2015-01-18,15,36,A,164-11,1,NA,NA
2015-01-19,16,36,A,156-4,1,15108.18,18.6
2015-01-19,16,36,A,167-7,1,42452.49,18.6
2015-01-19,16,36,A,168-16,1,1000.07,18.6
2015-01-19,16,36,A,169-30,1,781.28,18.6
2015-01-19,16,36,A,164-11,1,15798.63,18.6
2015-01-20,17,36,A,156-4,1,5704.24,20.01
2015-01-20,17,36,A,167-7,1,17994.83,20.01
2015-01-20,17,36,A,168-16,1,1063.85,20.01
2015-01-20,17,36,A,169-30,1,793.78,20.01
2015-01-20,17,36,A,164-11,1,8671.29,20.01
2015-01-21,18,36,A,156-4,1,6763.56,18.89
2015-01-21,18,36,A,167-7,1,16352.64,18.89
2015-01-21,18,36,A,168-16,1,1048.81,18.89
2015-01-21,18,36,A,169-30,1,642.57,18.89
2015-01-21,18,36,A,164-11,1,9175.59,18.89
2015-01-22,19,36,A,156-4,1,8766.87,20.44
2015-01-22,19,36,A,167-7,1,17280.17,20.44
2015-01-22,19,36,A,168-16,1,961.61,20.44
2015-01-22,19,36,A,169-30,1,752.03,20.44
2015-01-22,19,36,A,164-11,1,11520.86,20.44
2015-01-23,20,36,A,156-4,1,11629.56,19.23
2015-01-23,20,36,A,167-7,1,21278.16,19.23
2015-01-23,20,36,A,168-16,1,1176.63,19.23
2015-01-23,20,36,A,169-30,1,874.05,19.23
2015-01-23,20,36,A,164-11,1,15233.37,19.23
