Number,Date,Day,Hour,Transfer,Strain,Media,Temperature,Treatment,Replicate,RF,Rfctrl
1,2015-01-15,0,0,A,156-4,ASW,21,ASW21,X,23384.81,15.91
2,2015-01-15,0,0,A,156-4,ASW,15,ASW15,X,11855.12,15.91
3,2015-01-15,0,0,A,156-4,WC,21,WC21,X,18018.8,15.91
4,2015-01-15,0,0,A,156-4,WC,15,WC15,X,19152.44,15.91
5,2015-01-15,0,0,A,156-4,ASW,21,ASW21,Y,15406.95,15.91
6,2015-01-15,0,0,A,156-4,ASW,15,ASW15,Y,19035.46,15.91
7,2015-01-15,0,0,A,156-4,WC,21,WC21,Y,17451.15,15.91
8,2015-01-15,0,0,A,156-4,WC,15,WC15,Y,20235.9,15.91
9,2015-01-15,0,0,A,156-4,ASW,21,ASW21,Z,15221.06,15.91
10,2015-01-15,0,0,A,156-4,ASW,15,ASW15,Z,15792.96,15.91
11,2015-01-15,0,0,A,156-4,WC,21,WC21,Z,18144.75,15.91
12,2015-01-15,0,0,A,156-4,WC,15,WC15,Z,14156.59,15.91
13,2015-01-15,0,0,A,168-18,ASW,21,ASW21,X,12177.5,15.91
14,2015-01-15,0,0,A,168-18,ASW,15,ASW15,X,15899.36,15.91
15,2015-01-15,0,0,A,168-18,WC,21,WC21,X,15241.55,15.91
16,2015-01-15,0,0,A,168-18,WC,15,WC15,X,14865.81,15.91
17,2015-01-15,0,0,A,168-18,ASW,21,ASW21,Y,15976.05,15.91
18,2015-01-15,0,0,A,168-18,ASW,15,ASW15,Y,13501.73,15.91
19,2015-01-15,0,0,A,168-18,WC,21,WC21,Y,9402.56,15.91
20,2015-01-15,0,0,A,168-18,WC,15,WC15,Y,12200.11,15.91
21,2015-01-15,0,0,A,168-18,ASW,21,ASW21,Z,16788.85,15.91
22,2015-01-15,0,0,A,168-18,ASW,15,ASW15,Z,14011.4,15.91
23,2015-01-15,0,0,A,168-18,WC,21,WC21,Z,7477.26,15.91
24,2015-01-15,0,0,A,168-18,WC,15,WC15,Z,14222.04,15.91
1,2015-01-16,1,24,A,156-4,ASW,21,ASW21,X,14945.3,16.2
2,2015-01-16,1,24,A,156-4,ASW,15,ASW15,X,5245.93,16.2
3,2015-01-16,1,24,A,156-4,WC,21,WC21,X,12629.67,16.2
4,2015-01-16,1,24,A,156-4,WC,15,WC15,X,6243.96,16.2
5,2015-01-16,1,24,A,156-4,ASW,21,ASW21,Y,14287.22,16.2
6,2015-01-16,1,24,A,156-4,ASW,15,ASW15,Y,7253.12,16.2
