Number,Experiment,Date,Day,Hour,Transfer,Strain,Media,Temperature,Treatment,Replicate,RF,Rfctrl
1,salinity,2014-11-27,2,48,A,156-4,ASW,21,0,1,35794,18.41
2,salinity,2014-11-27,2,48,A,167-7,ASW,21,0,1,9133,18.41
3,salinity,2014-11-27,2,48,A,168-16,ASW,21,0,1,14290,18.41
4,salinity,2014-11-27,2,48,A,169-30,ASW,21,0,1,6202,18.41
5,salinity,2014-11-27,2,48,A,164-11,ASW,21,0,1,16575,18.41
6,salinity,2014-11-27,2,48,A,156-4,ASW,21,2,1,23998,18.41
7,salinity,2014-11-27,2,48,A,167-7,ASW,21,2,1,8904,18.41
8,salinity,2014-11-27,2,48,A,168-16,ASW,21,2,1,13478,18.41
9,salinity,2014-11-27,2,48,A,169-30,ASW,21,2,1,5788,18.41
10,salinity,2014-11-27,2,48,A,164-11,ASW,21,2,1,18396,18.41
11,salinity,2014-11-27,2,48,A,156-4,ASW,21,12,1,51296,17.97
12,salinity,2014-11-27,2,48,A,167-7,ASW,21,12,1,9165,17.97
13,salinity,2014-11-27,2,48,A,168-16,ASW,21,12,1,12012,17.97
14,salinity,2014-11-27,2,48,A,169-30,ASW,21,12,1,6293,17.97
15,salinity,2014-11-27,2,48,A,164-11,ASW,21,12,1,14311,17.97
16,salinity,2014-11-27,2,48,A,156-4,ASW,21,24,1,34236,28.29
17,salinity,2014-11-27,2,48,A,167-7,ASW,21,24,1,15689,28.29
18,salinity,2014-11-27,2,48,A,168-16,ASW,21,24,1,6225,28.29
19,salinity,2014-11-27,2,48,A,169-30,ASW,21,24,1,3834,28.29
20,salinity,2014-11-27,2,48,A,164-11,ASW,21,24,1,10142,28.29
21,salinity,2014-11-27,2,48,A,156-4,ASW,21,36,1,6764,16.88
22,salinity,2014-11-27,2,48,A,167-7,ASW,21,36,1,6389,16.88
23,salinity,2014-11-27,2,48,A,168-16,ASW,21,36,1,1626,16.88
24,salinity,2014-11-27,2,48,A,169-30,ASW,21,36,1,1071,16.88
25,salinity,2014-11-27,2,48,A,164-11,ASW,21,36,1,4815,16.88
1,salinity,2014-11-28,3,72,A,156-4,ASW,21,0,1,56867.26,19
2,salinity,2014-11-28,3,72,A,167-7,ASW,21,0,1,14447.81,19
3,salinity,2014-11-28,3,72,A,168-16,ASW,21,0,1,21974.64,19
4,salinity,2014-11-28,3,72,A,169-30,ASW,21,0,1,9776.22,19
5,salinity,2014-11-28,3,72,A,164-11,ASW,21,0,1,34664.12,19
6,salinity,2014-11-28,3,72,A,156-4,ASW,21,2,1,36126.91,19
7,salinity,2014-11-28,3,72,A,167-7,ASW,21,2,1,16136.16,19
8,salinity,2014-11-28,3,72,A,168-16,ASW,21,2,1,19492.99,19
9,salinity,2014-11-28,3,72,A,169-30,ASW,21,2,1,7707.05,19
10,salinity,2014-11-28,3,72,A,164-11,ASW,21,2,1,26792.19,19
11,salinity,2014-11-28,3,72,A,156-4,ASW,21,12,1,65132.07,17.89
12,salinity,2014-11-28,3,72,A,167-7,ASW,21,12,1,17341.27,17.89
13,salinity,2014-11-28,3,72,A,168-16,ASW,21,12,1,15449.39,17.89
14,salinity,2014-11-28,3,72,A,169-30,ASW,21,12,1,9607.43,17.89
15,salinity,2014-11-28,3,72,A,164-11,ASW,21,12,1,25011.64,17.89
16,salinity,2014-11-28,3,72,A,156-4,ASW,21,24,1,35827.39,30.79
17,salinity,2014-11-28,3,72,A,167-7,ASW,21,24,1,29819.18,30.79
18,salinity,2014-11-28,3,72,A,168-16,ASW,21,24,1,11408.18,30.79
19,salinity,2014-11-28,3,72,A,169-30,ASW,21,24,1,7300.99,30.79
20,salinity,2014-11-28,3,72,A,164-11,ASW,21,24,1,18925.08,30.79
21,salinity,2014-11-28,3,72,A,156-4,ASW,21,36,1,6478.58,18.52
22,salinity,2014-11-28,3,72,A,167-7,ASW,21,36,1,12769.82,18.52
23,salinity,2014-11-28,3,72,A,168-16,ASW,21,36,1,1635.84,18.52
24,salinity,2014-11-28,3,72,A,169-30,ASW,21,36,1,1322.83,18.52
25,salinity,2014-11-28,3,72,A,164-11,ASW,21,36,1,6218.6,18.52
1,salinity,2014-11-29,4,96,A,156-4,ASW,21,0,1,83820.23,16.48
2,salinity,2014-11-29,4,96,A,167-7,ASW,21,0,1,21493.97,16.48
3,salinity,2014-11-29,4,96,A,168-16,ASW,21,0,1,30956.09,16.48
4,salinity,2014-11-29,4,96,A,169-30,ASW,21,0,1,14282.18,16.48
5,salinity,2014-11-29,4,96,A,164-11,ASW,21,0,1,50252.96,16.48
6,salinity,2014-11-29,4,96,A,156-4,ASW,21,2,1,47199.93,19.82
7,salinity,2014-11-29,4,96,A,167-7,ASW,21,2,1,26002.08,19.82
8,salinity,2014-11-29,4,96,A,168-16,ASW,21,2,1,28626.24,19.82
9,salinity,2014-11-29,4,96,A,169-30,ASW,21,2,1,10655.85,19.82
10,salinity,2014-11-29,4,96,A,164-11,ASW,21,2,1,31899.32,19.82
11,salinity,2014-11-29,4,96,A,156-4,ASW,21,12,1,82629.43,17.81
12,salinity,2014-11-29,4,96,A,167-7,ASW,21,12,1,29225.39,17.81
13,salinity,2014-11-29,4,96,A,168-16,ASW,21,12,1,17691.78,17.81
14,salinity,2014-11-29,4,96,A,169-30,ASW,21,12,1,10086.26,17.81
15,salinity,2014-11-29,4,96,A,164-11,ASW,21,12,1,34885.98,17.81
16,salinity,2014-11-29,4,96,A,156-4,ASW,21,24,1,31549.55,19.92
17,salinity,2014-11-29,4,96,A,167-7,ASW,21,24,1,50988.39,19.92
18,salinity,2014-11-29,4,96,A,168-16,ASW,21,24,1,19758.23,19.92
19,salinity,2014-11-29,4,96,A,169-30,ASW,21,24,1,11806.48,19.92
20,salinity,2014-11-29,4,96,A,164-11,ASW,21,24,1,22794.18,19.92
