Number,Experiment,Date,Day,Hour,Transfer,Strain,Media,Temperature,Treatment,Replicate,RF,Rfctrl
1,flask,2015-01-14,0,0,K,156-4,ASW,21,0,1,1590.97,0
52,flask,2015-01-14,0,0,K,167-7,ASW,21,0,3,1490.04,0
53,flask,2015-01-14,0,0,K,168-16,ASW,21,0,3,1873.17,0
54,flask,2015-01-14,0,0,K,169-30,ASW,21,0,3,1895.93,0
55,flask,2015-01-14,0,0,K,164-11,ASW,21,0,3,1651.12,0
56,flask,2015-01-14,0,0,K,156-4,ASW,21,2,3,1492,0
57,flask,2015-01-14,0,0,K,167-7,ASW,21,2,3,2475.2,0
59,flask,2015-01-14,0,0,K,169-30,ASW,21,2,3,2065.57,0
60,flask,2015-01-14,0,0,K,164-11,ASW,21,2,3,1455.07,0
61,flask,2015-01-14,0,0,K,156-4,ASW,21,12,3,1072.97,0
62,flask,2015-01-14,0,0,K,167-7,ASW,21,12,3,3383.29,0
63,flask,2015-01-14,0,0,K,168-16,ASW,21,12,3,955.42,0
64,flask,2015-01-14,0,0,K,169-30,ASW,21,12,3,1420.13,0
40,flask,2015-01-14,0,0,K,164-11,ASW,21,12,2,1185.7,0
66,flask,2015-01-14,0,0,K,156-4,ASW,21,24,3,1052.39,0
67,flask,2015-01-14,0,0,K,167-7,ASW,21,24,3,2283.01,0
68,flask,2015-01-14,0,0,K,168-16,ASW,21,24,3,758.74,0
69,flask,2015-01-14,0,0,K,169-30,ASW,21,24,3,1408.6,0
70,flask,2015-01-14,0,0,K,164-11,ASW,21,24,3,967.04,0
1,flask,2015-01-14,1,24,K,156-4,ASW,21,0,1,2468.91,16.42
52,flask,2015-01-14,1,24,K,167-7,ASW,21,0,3,3191.58,16.42
53,flask,2015-01-14,1,24,K,168-16,ASW,21,0,3,2455.84,16.42
54,flask,2015-01-14,1,24,K,169-30,ASW,21,0,3,1808.97,16.42
55,flask,2015-01-14,1,24,K,164-11,ASW,21,0,3,3297.81,16.42
56,flask,2015-01-14,1,24,K,156-4,ASW,21,2,3,849.44,17.95
57,flask,2015-01-14,1,24,K,167-7,ASW,21,2,3,3346.01,17.95
59,flask,2015-01-14,1,24,K,169-30,ASW,21,2,3,2111.97,17.95
60,flask,2015-01-14,1,24,K,164-11,ASW,21,2,3,1974.81,17.95
61,flask,2015-01-14,1,24,K,156-4,ASW,21,12,3,1258.75,16.73
62,flask,2015-01-14,1,24,K,167-7,ASW,21,12,3,6214.67,16.73
63,flask,2015-01-14,1,24,K,168-16,ASW,21,12,3,727.67,16.73
64,flask,2015-01-14,1,24,K,169-30,ASW,21,12,3,1045.85,16.73
40,flask,2015-01-14,1,24,K,164-11,ASW,21,12,2,2646.13,16.73
66,flask,2015-01-14,1,24,K,156-4,ASW,21,24,3,1224.14,21.16
67,flask,2015-01-14,1,24,K,167-7,ASW,21,24,3,5079.07,21.16
68,flask,2015-01-14,1,24,K,168-16,ASW,21,24,3,767.84,21.16
69,flask,2015-01-14,1,24,K,169-30,ASW,21,24,3,1999.39,21.16
70,flask,2015-01-14,1,24,K,164-11,ASW,21,24,3,2413.99,21.16
1,flask,2015-01-15,2,48,K,156-4,ASW,21,0,1,5515.93,15.97
52,flask,2015-01-15,2,48,K,167-7,ASW,21,0,3,10492.72,15.97
53,flask,2015-01-15,2,48,K,168-16,ASW,21,0,3,5874.5,15.97
54,flask,2015-01-15,2,48,K,169-30,ASW,21,0,3,5014.24,15.97
55,flask,2015-01-15,2,48,K,164-11,ASW,21,0,3,6979.01,15.97
56,flask,2015-01-15,2,48,K,156-4,ASW,21,2,3,425.4,17.15
57,flask,2015-01-15,2,48,K,167-7,ASW,21,2,3,7826.87,17.15
59,flask,2015-01-15,2,48,K,169-30,ASW,21,2,3,1896.84,17.15
60,flask,2015-01-15,2,48,K,164-11,ASW,21,2,3,3110.41,17.15
61,flask,2015-01-15,2,48,K,156-4,ASW,21,12,3,712.66,16.72
62,flask,2015-01-15,2,48,K,167-7,ASW,21,12,3,10228.16,16.72
63,flask,2015-01-15,2,48,K,168-16,ASW,21,12,3,1052.37,16.72
64,flask,2015-01-15,2,48,K,169-30,ASW,21,12,3,1726.37,16.72
