Number,Experiment,Date,Day,Hour,Transfer,Strain,Media,Temperature,Treatment,Replicate,RF,Rfctrl
1,flask2,2015-02-08,0,0,Q,156-4,ASW,21,0,1,440.53,0
2,flask2,2015-02-08,0,0,Q,167-7,ASW,21,0,1,613.28,0
3,flask2,2015-02-08,0,0,Q,168-16,ASW,21,0,1,303.79,0
4,flask2,2015-02-08,0,0,Q,169-30,ASW,21,0,1,861.86,0
5,flask2,2015-02-08,0,0,Q,164-11,ASW,21,0,1,474.62,0
6,flask2,2015-02-08,0,0,Q,156-4,ASW,21,2,1,580.24,0
7,flask2,2015-02-08,0,0,Q,167-7,ASW,21,2,1,748,0
8,flask2,2015-02-08,0,0,Q,168-16,ASW,21,2,1,119.83,0
9,flask2,2015-02-08,0,0,Q,169-30,ASW,21,2,1,294.57,0
10,flask2,2015-02-08,0,0,Q,164-11,ASW,21,2,1,553.48,0
36,flask2,2015-02-08,0,0,Q,156-4,ASW,21,12,2,563.05,0
12,flask2,2015-02-08,0,0,Q,167-7,ASW,21,12,1,1470.2,0
13,flask2,2015-02-08,0,0,Q,168-16,ASW,21,12,1,609.55,0
14,flask2,2015-02-08,0,0,Q,169-30,ASW,21,12,1,372.11,0
65,flask2,2015-02-08,0,0,Q,164-11,ASW,21,12,3,855.31,0
16,flask2,2015-02-08,0,0,Q,156-4,ASW,21,24,1,266.31,0
67,flask2,2015-02-08,0,0,Q,167-7,ASW,21,24,3,1100.06,0
18,flask2,2015-02-08,0,0,Q,168-16,ASW,21,24,1,96.88,0
19,flask2,2015-02-08,0,0,Q,169-30,ASW,21,24,1,202.73,0
45,flask2,2015-02-08,0,0,Q,164-11,ASW,21,24,2,538.11,0
21,flask2,2015-02-08,0,0,Q,156-4,ASW,21,36,1,134.14,0
22,flask2,2015-02-08,0,0,Q,167-7,ASW,21,36,1,280.32,0
25,flask2,2015-02-08,0,0,Q,164-11,ASW,21,36,1,196.15,0
1,flask2,2015-02-09,1,24,Q,156-4,ASW,21,0,1,796.88,16.4
2,flask2,2015-02-09,1,24,Q,167-7,ASW,21,0,1,656.31,16.4
3,flask2,2015-02-09,1,24,Q,168-16,ASW,21,0,1,352.31,16.4
4,flask2,2015-02-09,1,24,Q,169-30,ASW,21,0,1,1662.25,16.4
5,flask2,2015-02-09,1,24,Q,164-11,ASW,21,0,1,836.45,16.4
6,flask2,2015-02-09,1,24,Q,156-4,ASW,21,2,1,769.98,16.71
7,flask2,2015-02-09,1,24,Q,167-7,ASW,21,2,1,1012.31,16.71
8,flask2,2015-02-09,1,24,Q,168-16,ASW,21,2,1,70.15,16.71
9,flask2,2015-02-09,1,24,Q,169-30,ASW,21,2,1,316.1,16.71
10,flask2,2015-02-09,1,24,Q,164-11,ASW,21,2,1,760.79,16.71
36,flask2,2015-02-09,1,24,Q,156-4,ASW,21,12,2,790.83,17.15
12,flask2,2015-02-09,1,24,Q,167-7,ASW,21,12,1,2230.91,17.15
13,flask2,2015-02-09,1,24,Q,168-16,ASW,21,12,1,1120.92,17.15
14,flask2,2015-02-09,1,24,Q,169-30,ASW,21,12,1,260.48,17.15
65,flask2,2015-02-09,1,24,Q,164-11,ASW,21,12,3,1308.45,17.15
16,flask2,2015-02-09,1,24,Q,156-4,ASW,21,24,1,411.42,17.71
67,flask2,2015-02-09,1,24,Q,167-7,ASW,21,24,3,1399.97,17.71
18,flask2,2015-02-09,1,24,Q,168-16,ASW,21,24,1,65.54,17.71
19,flask2,2015-02-09,1,24,Q,169-30,ASW,21,24,1,266.58,17.71
45,flask2,2015-02-09,1,24,Q,164-11,ASW,21,24,2,679.87,17.71
21,flask2,2015-02-09,1,24,Q,156-4,ASW,21,36,1,148.62,19.9
22,flask2,2015-02-09,1,24,Q,167-7,ASW,21,36,1,477.18,19.9
25,flask2,2015-02-09,1,24,Q,164-11,ASW,21,36,1,299.43,19.9
1,flask2,2015-02-10,2,48,Q,156-4,ASW,21,0,1,1682.93,16.92
2,flask2,2015-02-10,2,48,Q,167-7,ASW,21,0,1,1374.26,16.92
3,flask2,2015-02-10,2,48,Q,168-16,ASW,21,0,1,512.04,16.92
4,flask2,2015-02-10,2,48,Q,169-30,ASW,21,0,1,4600.23,16.92
5,flask2,2015-02-10,2,48,Q,164-11,ASW,21,0,1,2156.03,16.92
6,flask2,2015-02-10,2,48,Q,156-4,ASW,21,2,1,1444.61,16.92
7,flask2,2015-02-10,2,48,Q,167-7,ASW,21,2,1,2523.74,16.92
8,flask2,2015-02-10,2,48,Q,168-16,ASW,21,2,1,121.73,16.92
9,flask2,2015-02-10,2,48,Q,169-30,ASW,21,2,1,483.54,16.92
10,flask2,2015-02-10,2,48,Q,164-11,ASW,21,2,1,1165.37,16.92
36,flask2,2015-02-10,2,48,Q,156-4,ASW,21,12,2,1622.06,17.64
12,flask2,2015-02-10,2,48,Q,167-7,ASW,21,12,1,5737.71,17.64
13,flask2,2015-02-10,2,48,Q,168-16,ASW,21,12,1,1719.22,17.64
14,flask2,2015-02-10,2,48,Q,169-30,ASW,21,12,1,629.42,17.64
65,flask2,2015-02-10,2,48,Q,164-11,ASW,21,12,3,2205.58,17.64
16,flask2,2015-02-10,2,48,Q,156-4,ASW,21,24,1,622.71,17.44
67,flask2,2015-02-10,2,48,Q,167-7,ASW,21,24,3,2124.67,17.44
18,flask2,2015-02-10,2,48,Q,168-16,ASW,21,24,1,48.38,17.44
19,flask2,2015-02-10,2,48,Q,169-30,ASW,21,24,1,333.19,17.44
45,flask2,2015-02-10,2,48,Q,164-11,ASW,21,24,2,1072.53,17.44
21,flask2,2015-02-10,2,48,Q,156-4,ASW,21,36,1,178.41,19.6
22,flask2,2015-02-10,2,48,Q,167-7,ASW,21,36,1,851.63,19.6
25,flask2,2015-02-10,2,48,Q,164-11,ASW,21,36,1,428.4,19.6
