"Number","Experiment","Date","Day","Hour","Transfer","Strain","Media","Temperature","Treatment","Replicate","RF","Rfctrl","Rep","seqRep","lnRF","trDay"
1,"salinity",2014-11-27,2,48,1,"156-4","ASW","21","0",1,35794,18.41,"1","1",10.4850210962523,3
2,"salinity",2014-11-27,2,48,1,"167-7","ASW","21","0",1,9133,18.41,"1","1",9.11763170530022,3
3,"salinity",2014-11-27,2,48,1,"168-16","ASW","21","0",1,14290,18.41,"1","1",9.56602612682867,3
4,"salinity",2014-11-27,2,48,1,"169-30","ASW","21","0",1,6202,18.41,"1","1",8.72965428793994,3
5,"salinity",2014-11-27,2,48,1,"164-11","ASW","21","0",1,16575,18.41,"1","1",9.71453948886086,3
6,"salinity",2014-11-27,2,48,1,"156-4","ASW","21","2",1,23998,18.41,"1","1",10.084958330854,3
7,"salinity",2014-11-27,2,48,1,"167-7","ASW","21","2",1,8904,18.41,"1","1",9.09218614243587,3
8,"salinity",2014-11-27,2,48,1,"168-16","ASW","21","2",1,13478,18.41,"1","1",9.50744714211071,3
9,"salinity",2014-11-27,2,48,1,"169-30","ASW","21","2",1,5788,18.41,"1","1",8.66035629978509,3
10,"salinity",2014-11-27,2,48,1,"164-11","ASW","21","2",1,18396,18.41,"1","1",9.81888726652914,3
11,"salinity",2014-11-27,2,48,1,"156-4","ASW","21","12",1,51296,17.97,"1","1",10.84501767432,3
12,"salinity",2014-11-27,2,48,1,"167-7","ASW","21","12",1,9165,17.97,"1","1",9.12118451541484,3
13,"salinity",2014-11-27,2,48,1,"168-16","ASW","21","12",1,12012,17.97,"1","1",9.39216430497595,3
14,"salinity",2014-11-27,2,48,1,"169-30","ASW","21","12",1,6293,17.97,"1","1",8.74433354486505,3
15,"salinity",2014-11-27,2,48,1,"164-11","ASW","21","12",1,14311,17.97,"1","1",9.56752728483646,3
16,"salinity",2014-11-27,2,48,1,"156-4","ASW","21","24",1,34236,28.29,"1","1",10.4402063362397,3
17,"salinity",2014-11-27,2,48,1,"167-7","ASW","21","24",1,15689,28.29,"1","1",9.65891030695893,3
18,"salinity",2014-11-27,2,48,1,"168-16","ASW","21","24",1,6225,28.29,"1","1",8.73177378502992,3
19,"salinity",2014-11-27,2,48,1,"169-30","ASW","21","24",1,3834,28.29,"1","1",8.24425784947225,3
20,"salinity",2014-11-27,2,48,1,"164-11","ASW","21","24",1,10142,28.29,"1","1",9.22164720810249,3
21,"salinity",2014-11-27,2,48,1,"156-4","ASW","21","36",1,6764,16.88,"1","1",8.81687102615179,3
22,"salinity",2014-11-27,2,48,1,"167-7","ASW","21","36",1,6389,16.88,"1","1",8.75968750324433,3
23,"salinity",2014-11-27,2,48,1,"168-16","ASW","21","36",1,1626,16.88,"1","1",7.38344272469617,3
24,"salinity",2014-11-27,2,48,1,"169-30","ASW","21","36",1,1071,16.88,"1","1",6.96046157461307,3
25,"salinity",2014-11-27,2,48,1,"164-11","ASW","21","36",1,4815,16.88,"1","1",8.47597945350789,3
1,"salinity",2014-11-28,3,72,1,"156-4","ASW","21","0",1,56867.26,19,"1","1",10.9481408918501,4
2,"salinity",2014-11-28,3,72,1,"167-7","ASW","21","0",1,14447.81,19,"1","1",9.57698218128485,4
3,"salinity",2014-11-28,3,72,1,"168-16","ASW","21","0",1,21974.64,19,"1","1",9.99677933310613,4
4,"salinity",2014-11-28,3,72,1,"169-30","ASW","21","0",1,9776.22,19,"1","1",9.18576280276807,4
5,"salinity",2014-11-28,3,72,1,"164-11","ASW","21","0",1,34664.12,19,"1","1",10.4529121577588,4
6,"salinity",2014-11-28,3,72,1,"156-4","ASW","21","2",1,36126.91,19,"1","1",10.4942672338925,4
7,"salinity",2014-11-28,3,72,1,"167-7","ASW","21","2",1,16136.16,19,"1","1",9.68763982187929,4
8,"salinity",2014-11-28,3,72,1,"168-16","ASW","21","2",1,19492.99,19,"1","1",9.87683500803338,4
9,"salinity",2014-11-28,3,72,1,"169-30","ASW","21","2",1,7707.05,19,"1","1",8.94742245427102,4
10,"salinity",2014-11-28,3,72,1,"164-11","ASW","21","2",1,26792.19,19,"1","1",10.1951562926575,4
11,"salinity",2014-11-28,3,72,1,"156-4","ASW","21","12",1,65132.07,17.89,"1","1",11.083897623218,4
12,"salinity",2014-11-28,3,72,1,"167-7","ASW","21","12",1,17341.27,17.89,"1","1",9.75981231319259,4
13,"salinity",2014-11-28,3,72,1,"168-16","ASW","21","12",1,15449.39,17.89,"1","1",9.64416615385331,4
14,"salinity",2014-11-28,3,72,1,"169-30","ASW","21","12",1,9607.43,17.89,"1","1",9.16842820009514,4
15,"salinity",2014-11-28,3,72,1,"164-11","ASW","21","12",1,25011.64,17.89,"1","1",10.1263810725951,4
16,"salinity",2014-11-28,3,72,1,"156-4","ASW","21","24",1,35827.39,30.79,"1","1",10.4856081958116,4
17,"salinity",2014-11-28,3,72,1,"167-7","ASW","21","24",1,29819.18,30.79,"1","1",10.3018739992653,4
18,"salinity",2014-11-28,3,72,1,"168-16","ASW","21","24",1,11408.18,30.79,"1","1",9.33938333163927,4
19,"salinity",2014-11-28,3,72,1,"169-30","ASW","21","24",1,7300.99,30.79,"1","1",8.89153908046553,4
20,"salinity",2014-11-28,3,72,1,"164-11","ASW","21","24",1,18925.08,30.79,"1","1",9.84661503899926,4
21,"salinity",2014-11-28,3,72,1,"156-4","ASW","21","36",1,6478.58,18.52,"1","1",8.77339388465921,4
22,"salinity",2014-11-28,3,72,1,"167-7","ASW","21","36",1,12769.82,18.52,"1","1",9.45338850617324,4
23,"salinity",2014-11-28,3,72,1,"168-16","ASW","21","36",1,1635.84,18.52,"1","1",7.38852573733877,4
