,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed,oldMed,difference
1,156+AC0-4,0,1,X,5285.08,20.23,0.15,3.85,3.73,0.12
2,167+AC0-7,0,1,X,11570.64,20.23,0.07,3.93,3.87,0.06
3,168+AC0-16,0,1,X,1087.43,20.23,0.75,3.25,2.96,0.29
4,169+AC0-30,0,1,X,8896.04,20.23,0.09,3.91,3.83,0.08
5,164+AC0-11,0,1,X,12207.09,20.23,0.07,3.93,3.89,0.04
6,156+AC0-4,2,1,X,5272.18,17.17,0.15,3.85,3.71,0.14
7,167+AC0-7,2,1,X,22746.08,17.17,0.04,3.96,3.93,0.03
8,168+AC0-16,2,1,X,2369.54,17.17,0.34,3.66,3.49,0.17
9,169+AC0-30,2,1,X,3559.43,17.17,0.23,3.77,3.64,0.13
10,164+AC0-11,2,1,X,4967.78,17.17,0.16,3.84,3.68,0.16
11,156+AC0-4,12,1,X,2228.09,19.43,0.36,3.64,3.42,0.22
12,167+AC0-7,12,1,X,8982.57,19.43,0.09,3.91,3.82,0.09
13,168+AC0-16,12,1,X,8568.5,19.43,0.09,3.91,3.8,0.11
14,169+AC0-30,12,1,X,6237.16,19.43,0.13,3.87,3.76,0.11
15,164+AC0-11,12,1,X,3302.04,19.43,0.24,3.76,3.53,0.23
16,156+AC0-4,24,1,X,3135.12,17.1,0.26,3.74,3.51,0.23
17,167+AC0-7,24,1,X,12620.37,17.1,0.06,3.94,3.87,0.07
18,168+AC0-16,24,1,X,146.76,17.1,6.17,+AC0-2.17,+AC0-1.34,+AC0-0.83
19,169+AC0-30,24,1,X,1328.2,17.1,0.61,3.39,3.2,0.19
20,164+AC0-11,24,1,X,2947.85,17.1,0.27,3.73,3.56,0.17
21,156+AC0-4,36,1,X,1205.21,16.18,0.67,3.33,3.12,0.21
22,167+AC0-7,36,1,X,3278.02,16.18,0.25,3.75,3.6,0.15
23,168+AC0-16,36,1,X,20.1,16.18,204.08,+AC0-200.08,+AC0-160.95,+AC0-39.13
24,169+AC0-30,36,1,X,26.61,16.18,76.7,+AC0-72.7,+AC0-63.91,+AC0-8.79
25,164+AC0-11,36,1,X,2142.23,16.18,0.38,3.62,3.5,0.12
