,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,O,16270.27,19.56,0.05,3.95
2,332,0,1,O,3423.2,19.56,0.24,3.76
3,333,0,1,O,18408.01,19.56,0.04,3.96
4,1263,0,1,O,17983.42,19.56,0.04,3.96
5,331,2,1,O,25393.25,19.1,0.03,3.97
6,332,2,1,O,11574.02,19.1,0.07,3.93
7,333,2,1,O,22640.67,19.1,0.04,3.96
8,1263,2,1,O,22256.8,19.1,0.04,3.96
9,331,12,1,O,34137.46,18.74,0.02,3.98
10,332,12,1,O,24202.54,18.74,0.03,3.97
11,333,12,1,O,38331.84,18.74,0.02,3.98
12,1263,12,1,O,15627.39,18.74,0.05,3.95
13,331,24,1,O,12664.63,17.43,0.06,3.94
14,332,24,1,O,14933.28,17.43,0.05,3.95
15,333,24,1,O,10607.44,17.43,0.08,3.92
16,1263,24,1,O,30785.89,17.43,0.03,3.97
17,331,36,1,O,4070.54,18.62,0.2,3.8
18,332,36,1,O,7256.09,18.62,0.11,3.89
19,333,36,1,O,2446.99,18.62,0.33,3.67
20,1263,36,1,O,15163.98,18.62,0.05,3.95
21,331,0,2,O,14828.06,19.56,0.05,3.95
22,332,0,2,O,2303.91,19.56,0.35,3.65
23,333,0,2,O,12640.16,19.56,0.06,3.94
24,1263,0,2,O,22204.72,19.56,0.04,3.96
25,331,2,2,O,24518.29,19.1,0.03,3.97
26,332,2,2,O,15400.44,19.1,0.05,3.95
27,333,2,2,O,23029.31,19.1,0.03,3.97
28,1263,2,2,O,24908.5,19.1,0.03,3.97
29,331,12,2,O,32419.03,18.74,0.02,3.98
30,332,12,2,O,18989.62,18.74,0.04,3.96
31,333,12,2,O,43286.98,18.74,0.02,3.98
32,1263,12,2,O,19067.99,18.74,0.04,3.96
33,331,24,2,O,16332.4,17.43,0.05,3.95
34,332,24,2,O,14858.93,17.43,0.05,3.95
35,333,24,2,O,13664.85,17.43,0.06,3.94
36,1263,24,2,O,14699.04,17.43,0.05,3.95
37,331,36,2,O,3903.32,18.62,0.21,3.79
38,332,36,2,O,5640.55,18.62,0.14,3.86
39,333,36,2,O,3058.8,18.62,0.26,3.74
40,1263,36,2,O,15376.6,18.62,0.05,3.95
41,331,0,3,O,16353.2,19.56,0.05,3.95
42,332,0,3,O,2574.77,19.56,0.31,3.69
43,333,0,3,O,16630.13,19.56,0.05,3.95
44,1263,0,3,O,16429.19,19.56,0.05,3.95
45,331,2,3,O,22797.48,19.1,0.04,3.96
46,332,2,3,O,10748.49,19.1,0.07,3.93
47,333,2,3,O,19027.95,19.1,0.04,3.96
48,1263,2,3,O,21391.41,19.1,0.04,3.96
49,331,12,3,O,29981.8,18.74,0.03,3.97
50,332,12,3,O,23476.28,18.74,0.03,3.97
51,333,12,3,O,31936.64,18.74,0.03,3.97
52,1263,12,3,O,14018.54,18.74,0.06,3.94
53,331,24,3,O,16604.3,17.43,0.05,3.95
54,332,24,3,O,13088.54,17.43,0.06,3.94
55,333,24,3,O,13179.57,17.43,0.06,3.94
56,1263,24,3,O,22734.35,17.43,0.04,3.96
57,331,36,3,O,4572.36,18.62,0.18,3.82
58,332,36,3,O,6864.4,18.62,0.12,3.88
59,333,36,3,O,3305.14,18.62,0.24,3.76
60,1263,36,3,O,14744.55,18.62,0.05,3.95
