,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,S,7149.99,20.78,0.11,3.89
2,332,0,1,S,2375.02,20.78,0.34,3.66
3,333,0,1,S,8353.68,20.78,0.1,3.9
4,1263,0,1,S,12369.34,20.78,0.06,3.94
5,331,2,1,S,9070.15,21.23,0.09,3.91
6,332,2,1,S,5940.42,21.23,0.14,3.86
7,333,2,1,S,10044.04,21.23,0.08,3.92
8,1263,2,1,S,6043.73,21.23,0.13,3.87
9,331,12,1,S,15034.71,19.62,0.05,3.95
10,332,12,1,S,9369.16,19.62,0.09,3.91
11,333,12,1,S,13898.48,19.62,0.06,3.94
12,1263,12,1,S,5305.03,19.62,0.15,3.85
13,331,24,1,S,6538.57,19.52,0.12,3.88
14,332,24,1,S,6143.11,19.52,0.13,3.87
15,333,24,1,S,6115.91,19.52,0.13,3.87
16,1263,24,1,S,4459.14,19.52,0.18,3.82
17,331,36,1,S,2514.39,19.76,0.32,3.68
18,332,36,1,S,2363.47,19.76,0.34,3.66
19,333,36,1,S,3055.61,19.76,0.26,3.74
20,1263,36,1,S,4953.25,19.76,0.16,3.84
21,331,0,2,S,7430.69,20.78,0.11,3.89
22,332,0,2,S,3216.33,20.78,0.25,3.75
23,333,0,2,S,6830.87,20.78,0.12,3.88
24,1263,0,2,S,11625.51,20.78,0.07,3.93
25,331,2,2,S,8410.73,21.23,0.1,3.9
26,332,2,2,S,6100.45,21.23,0.13,3.87
27,333,2,2,S,11309.18,21.23,0.07,3.93
28,1263,2,2,S,5636.5,21.23,0.14,3.86
29,331,12,2,S,14418.2,19.62,0.06,3.94
30,332,12,2,S,9637.88,19.62,0.08,3.92
31,333,12,2,S,15597.75,19.62,0.05,3.95
32,1263,12,2,S,12698.55,19.62,0.06,3.94
33,331,24,2,S,7078.09,19.52,0.11,3.89
34,332,24,2,S,5820.79,19.52,0.14,3.86
35,333,24,2,S,6930.15,19.52,0.12,3.88
36,1263,24,2,S,7153.59,19.52,0.11,3.89
37,331,36,2,S,3321.91,19.76,0.24,3.76
38,332,36,2,S,2744.07,19.76,0.29,3.71
39,333,36,2,S,4036.54,19.76,0.2,3.8
40,1263,36,2,S,4854.07,19.76,0.17,3.83
41,331,0,3,S,7355.77,20.78,0.11,3.89
42,332,0,3,S,3251.97,20.78,0.25,3.75
43,333,0,3,S,8078.35,20.78,0.1,3.9
44,1263,0,3,S,12858.11,20.78,0.06,3.94
45,331,2,3,S,10121.46,21.23,0.08,3.92
46,332,2,3,S,6787.61,21.23,0.12,3.88
47,333,2,3,S,11252.44,21.23,0.07,3.93
48,1263,2,3,S,8164.69,21.23,0.1,3.9
49,331,12,3,S,12762.62,19.62,0.06,3.94
50,332,12,3,S,9161.57,19.62,0.09,3.91
51,333,12,3,S,12520.61,19.62,0.06,3.94
52,1263,12,3,S,10895.75,19.62,0.07,3.93
53,331,24,3,S,8602.02,19.52,0.09,3.91
54,332,24,3,S,5706.27,19.52,0.14,3.86
55,333,24,3,S,6473.48,19.52,0.12,3.88
56,1263,24,3,S,4446.51,19.52,0.18,3.82
57,331,36,3,S,2980.5,19.76,0.27,3.73
58,332,36,3,S,3166.38,19.76,0.25,3.75
59,333,36,3,S,3244.43,19.76,0.25,3.75
60,1263,36,3,S,5641.01,19.76,0.14,3.86
