,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,156+AC0-4,0,1,35,4250.76,22.33,0.19,3.81
2,167+AC0-7,0,1,35,3563.43,22.33,0.23,3.77
3,168+AC0-16,0,1,35,24.18,22.33,432.43,+AC0-428.43
4,169+AC0-30,0,1,35,6478.43,22.33,0.12,3.88
5,164+AC0-11,0,1,35,13565.13,22.33,0.06,3.94
6,156+AC0-4,2,1,35,16760.43,22.68,0.05,3.95
7,167+AC0-7,2,1,35,41226.72,22.68,0.02,3.98
8,168+AC0-16,2,1,35,7970.74,22.68,0.1,3.9
9,169+AC0-30,2,1,35,4985.17,22.68,0.16,3.84
10,164+AC0-11,2,1,35,7384.68,22.68,0.11,3.89
11,156+AC0-4,12,1,35,1303.56,23.03,0.62,3.38
12,167+AC0-7,12,1,35,3787.89,23.03,0.21,3.79
13,168+AC0-16,12,1,35,4386.61,23.03,0.18,3.82
14,169+AC0-30,12,1,35,20483.18,23.03,0.04,3.96
15,164+AC0-11,12,1,35,69.68,23.03,17.15,+AC0-13.15
16,156+AC0-4,24,1,35,2282.71,21.58,0.35,3.65
17,167+AC0-7,24,1,35,11538.72,21.58,0.07,3.93
18,168+AC0-16,24,1,35,26.86,21.58,151.52,+AC0-147.52
19,169+AC0-30,24,1,35,668.93,21.58,1.24,2.76
20,164+AC0-11,24,1,35,1285.7,21.58,0.63,3.37
21,156+AC0-4,36,1,35,1210.22,21.7,0.67,3.33
22,167+AC0-7,36,1,35,2428.24,21.7,0.33,3.67
23,168+AC0-16,36,1,35,22.56,21.7,930.23,+AC0-926.23
24,169+AC0-30,36,1,35,27.67,21.7,134,+AC0-130
9650,164+AC0-11,36,1,35,1461.56,21.7,0.56,3.44
